Strategy A,n = 1000000


Trial 1

Space Name,Times Landed On,Percent Landed On (%)
JAIL,66219,6.157
ST_CHARLES_PLACE,26700,2.482
ELECTRIC_COMPANY,25830,2.401
STATES_AVENUE,23574,2.192
VIRGINIA_AVENUE,24819,2.308
PENNSYLVANIA_RAILROAD,27541,2.561
ST_JAMES_PLACE,27810,2.586
COMMUNITY_CHEST_2,29520,2.745
TENNESSEE_AVENUE,28987,2.695
NEW_YORK_AVENUE,30766,2.860
FREE_PARKING,28596,2.659
KENTUCKY_AVENUE,28204,2.622
CHANCE_2,27655,2.571
INDIANA_AVENUE,27277,2.536
ILLINOIS_AVENUE,31849,2.961
BO_RAILROAD,28916,2.688
ATLANTIC_AVENUE,27015,2.512
VENTNOR_AVENUE,26971,2.508
WATER_WORKS,28343,2.635
MARVIN_GARDENS,26170,2.433
GO_TO_JAIL,26561,2.469
PACIFIC_AVENUE,27003,2.511
NORTH_CAROLINA_AVENUE,26087,2.425
COMMUNITY_CHEST_3,26974,2.508
PENNSYLVANIA_AVENUE,24679,2.294
SHORT_LINE,24382,2.267
CHANCE_3,23127,2.150
PARK_PLACE,22002,2.046
LUXURY_TAX,22056,2.051
BOARDWALK,26540,2.468


Trial 9

Space Name,Times Landed On,Percent Landed On (%)
GO,27579,2.565
MEDITERRANEAN_AVENUE,21651,2.013
COMMUNITY_CHEST_1,21832,2.030
BALTIC_AVENUE,21841,2.031
INCOME_TAX,23389,2.175
READING_RAILROAD,25916,2.410
ORIENTAL_AVENUE,22503,2.093
CHANCE_1,22948,2.134
VERMONT_AVENUE,23015,2.140
CONNECTICUT_AVENUE,22984,2.137
JAIL,65812,6.120
ST_CHARLES_PLACE,26756,2.488
ELECTRIC_COMPANY,25772,2.397
STATES_AVENUE,23610,2.196
VIRGINIA_AVENUE,24627,2.290
PENNSYLVANIA_RAILROAD,27614,2.568
ST_JAMES_PLACE,27934,2.598
COMMUNITY_CHEST_2,29208,2.716
TENNESSEE_AVENUE,29411,2.735
NEW_YORK_AVENUE,30827,2.867
FREE_PARKING,28419,2.643
KENTUCKY_AVENUE,27936,2.598
CHANCE_2,27942,2.598
INDIANA_AVENUE,27090,2.519
ILLINOIS_AVENUE,31719,2.950
BO_RAILROAD,28925,2.690
ATLANTIC_AVENUE,27182,2.528
VENTNOR_AVENUE,26993,2.510
WATER_WORKS,28226,2.625
MARVIN_GARDENS,25943,2.412
GO_TO_JAIL,26420,2.457
PACIFIC_AVENUE,26937,2.505
NORTH_CAROLINA_AVENUE,26312,2.447
COMMUNITY_CHEST_3,26600,2.474
PENNSYLVANIA_AVENUE,24946,2.320
SHORT_LINE,24329,2.262
CHANCE_3,23318,2.168
PARK_PLACE,22249,2.069
LUXURY_TAX,21869,2.034
BOARDWALK,26779,2.490


Trial 10

Space Name,Times Landed On,Percent Landed On (%)
GO,27547,2.562
MEDITERRANEAN_AVENUE,21563,2.006
COMMUNITY_CHEST_1,22093,2.055
BALTIC_AVENUE,22031,2.049
INCOME_TAX,23507,2.186
READING_RAILROAD,25881,2.407
ORIENTAL_AVENUE,22724,2.114
CHANCE_1,22825,2.123
VERMONT_AVENUE,23041,2.143
CONNECTICUT_AVENUE,23022,2.141
JAIL,66196,6.157
ST_CHARLES_PLACE,26591,2.473
ELECTRIC_COMPANY,25623,2.383
STATES_AVENUE,23536,2.189
VIRGINIA_AVENUE,24522,2.281
PENNSYLVANIA_RAILROAD,27656,2.572
ST_JAMES_PLACE,27931,2.598
COMMUNITY_CHEST_2,29502,2.744
TENNESSEE_AVENUE,29066,2.703
NEW_YORK_AVENUE,30470,2.834
FREE_PARKING,28642,2.664
KENTUCKY_AVENUE,27949,2.600
CHANCE_2,27507,2.558
INDIANA_AVENUE,27364,2.545
ILLINOIS_AVENUE,31644,2.943
BO_RAILROAD,28982,2.696
ATLANTIC_AVENUE,27213,2.531
VENTNOR_AVENUE,26919,2.504
WATER_WORKS,28139,2.617
MARVIN_GARDENS,25998,2.418
GO_TO_JAIL,26391,2.455
PACIFIC_AVENUE,26655,2.479
NORTH_CAROLINA_AVENUE,26508,2.466
COMMUNITY_CHEST_3,26772,2.490
PENNSYLVANIA_AVENUE,25139,2.338
SHORT_LINE,24187,2.250
CHANCE_3,23051,2.144
PARK_PLACE,21913,2.038
LUXURY_TAX,22027,2.049
BOARDWALK,26798,2.493


