Strategy B,n = 10000


Trial 1

Space Name,Times Landed On,Percent Landed On (%)
VERMONT_AVENUE,250,2.334
CONNECTICUT_AVENUE,230,2.147
JAIL,643,6.002
ST_CHARLES_PLACE,279,2.604
ELECTRIC_COMPANY,245,2.287
STATES_AVENUE,241,2.250
VIRGINIA_AVENUE,271,2.530
PENNSYLVANIA_RAILROAD,281,2.623
ST_JAMES_PLACE,258,2.408
COMMUNITY_CHEST_2,299,2.791
TENNESSEE_AVENUE,273,2.548
NEW_YORK_AVENUE,277,2.586
FREE_PARKING,312,2.912
KENTUCKY_AVENUE,293,2.735
CHANCE_2,258,2.408
INDIANA_AVENUE,283,2.642
ILLINOIS_AVENUE,287,2.679
BO_RAILROAD,296,2.763
ATLANTIC_AVENUE,283,2.642
VENTNOR_AVENUE,251,2.343
WATER_WORKS,308,2.875
MARVIN_GARDENS,242,2.259
GO_TO_JAIL,249,2.324
PACIFIC_AVENUE,283,2.642
NORTH_CAROLINA_AVENUE,269,2.511
COMMUNITY_CHEST_3,258,2.408
PENNSYLVANIA_AVENUE,250,2.334
SHORT_LINE,257,2.399
CHANCE_3,231,2.156
PARK_PLACE,223,2.082
LUXURY_TAX,217,2.026
BOARDWALK,257,2.399


