Strategy A,n = 1000,
ELECTRIC_COMPANY,26,2.423
STATES_AVENUE,24,2.237
VIRGINIA_AVENUE,20,1.864
PENNSYLVANIA_RAILROAD,27,2.516
ST_JAMES_PLACE,24,2.237
COMMUNITY_CHEST_2,30,2.796
TENNESSEE_AVENUE,34,3.169
NEW_YORK_AVENUE,31,2.889
FREE_PARKING,24,2.237
KENTUCKY_AVENUE,29,2.703
CHANCE_2,29,2.703
INDIANA_AVENUE,28,2.61
ILLINOIS_AVENUE,38,3.541
BO_RAILROAD,32,2.982
ATLANTIC_AVENUE,16,1.491
VENTNOR_AVENUE,25,2.33
WATER_WORKS,31,2.889
MARVIN_GARDENS,20,1.864
GO_TO_JAIL,28,2.61
PACIFIC_AVENUE,27,2.516
NORTH_CAROLINA_AVENUE,27,2.516
COMMUNITY_CHEST_3,27,2.516
PENNSYLVANIA_AVENUE,29,2.703
SHORT_LINE,22,2.05
CHANCE_3,15,1.398
PARK_PLACE,27,2.516
LUXURY_TAX,21,1.957
BOARDWALK,30,2.796
,,
,,
Trial 10,,
,,
Space Name,Times Landed On,Percent Landed On (%)
GO,19,1.764
MEDITERRANEAN_AVENUE,21,1.95
COMMUNITY_CHEST_1,19,1.764
BALTIC_AVENUE,22,2.043
INCOME_TAX,27,2.507
READING_RAILROAD,22,2.043
ORIENTAL_AVENUE,23,2.136
CHANCE_1,23,2.136
VERMONT_AVENUE,21,1.95
CONNECTICUT_AVENUE,19,1.764
JAIL,74,6.871
ST_CHARLES_PLACE,30,2.786
ELECTRIC_COMPANY,24,2.228
STATES_AVENUE,25,2.321
VIRGINIA_AVENUE,27,2.507
PENNSYLVANIA_RAILROAD,27,2.507
ST_JAMES_PLACE,26,2.414
COMMUNITY_CHEST_2,23,2.136
TENNESSEE_AVENUE,31,2.878
NEW_YORK_AVENUE,31,2.878
FREE_PARKING,29,2.693
KENTUCKY_AVENUE,39,3.621
CHANCE_2,23,2.136
INDIANA_AVENUE,20,1.857
ILLINOIS_AVENUE,32,2.971
BO_RAILROAD,28,2.6
ATLANTIC_AVENUE,33,3.064
VENTNOR_AVENUE,30,2.786
WATER_WORKS,24,2.228
MARVIN_GARDENS,21,1.95
GO_TO_JAIL,30,2.786
PACIFIC_AVENUE,26,2.414
NORTH_CAROLINA_AVENUE,26,2.414
COMMUNITY_CHEST_3,37,3.435
PENNSYLVANIA_AVENUE,20,1.857
SHORT_LINE,28,2.6
CHANCE_3,27,2.507
PARK_PLACE,19,1.764
LUXURY_TAX,25,2.321
BOARDWALK,26,2.414
